GG	GN	NN
chr3-154250000-154250000-chr3-153850000-153850000	chr13-55700000-55700000-chr13-56950000-56950000	chr5-47550000-47550000-chr5-49950000-49950000
chrX-98850000-98850000-chrX-96350000-96350000	chr6-107250000-107250000-chr6-106750000-106750000	chr8-97200000-97200000-chr8-97500000-97500000
chr8-99700000-99700000-chr8-99150000-99150000	chr1-107450000-107450000-chr1-108750000-108750000	chr6-75950000-75950000-chr6-75750000-75750000
chr6-142150000-142150000-chr6-142250000-142250000	chr14-29550000-29550000-chr14-28500000-28500000	chr6-137700000-137700000-chr6-136900000-136900000
chr10-3750000-3750000-chr10-4650000-4650000	chr12-71750000-71750000-chr12-72350000-72350000	chr1-90300000-90300000-chr1-89900000-89900000
chr2-32100000-32100000-chr2-34350000-34350000	chr10-108000000-108000000-chr10-106800000-106800000	chr16-81150000-81150000-chr16-80350000-80350000
chr19-5100000-5100000-chr19-3650000-3650000	chr16-14900000-14900000-chr16-15800000-15800000	chr14-79900000-79900000-chr14-81350000-81350000
chr16-36050000-36050000-chr16-34300000-34300000	chr8-64450000-64450000-chr8-63100000-63100000	chr12-105200000-105200000-chr12-104900000-104900000
chr7-60050000-60050000-chr7-59400000-59400000	chr4-62150000-62150000-chr4-61900000-61900000	chr11-14350000-14350000-chr11-13750000-13750000
chr7-17100000-17100000-chr7-16650000-16650000	chr6-62800000-62800000-chr6-63600000-63600000	chr2-23500000-23500000-chr2-22150000-22150000
chr6-31400000-31400000-chr6-32500000-32500000	chr1-64050000-64050000-chr1-65300000-65300000	chr7-105000000-105000000-chr7-104750000-104750000
chr9-29900000-29900000-chr9-29200000-29200000	chr3-92450000-92450000-chr3-90450000-90450000	chrY-19950000-19950000-chrY-17450000-17450000
chr17-23750000-23750000-chr17-24550000-24550000	chr16-28100000-28100000-chr16-28500000-28500000	chr5-139850000-139850000-chr5-140500000-140500000
chr1-160450000-160450000-chr1-159700000-159700000	chrX-139050000-139050000-chrX-137700000-137700000	chr2-46600000-46600000-chr2-48300000-48300000
chr2-5850000-5850000-chr2-7200000-7200000	chr17-67750000-67750000-chr17-66200000-66200000	chr5-139600000-139600000-chr5-138750000-138750000
chr5-88100000-88100000-chr5-91000000-91000000	chr6-135700000-135700000-chr6-137100000-137100000	chr12-32100000-32100000-chr12-31150000-31150000
chr2-41300000-41300000-chr2-41600000-41600000	chr1-106300000-106300000-chr1-107150000-107150000	chrX-8800000-8800000-chrX-8300000-8300000
chr5-29350000-29350000-chr5-34200000-34200000	chr12-90000000-90000000-chr12-90400000-90400000	chr3-2900000-2900000-chr3-4450000-4450000
chr5-137800000-137800000-chr5-139300000-139300000	chr13-103550000-103550000-chr13-102700000-102700000	chr12-92250000-92250000-chr12-94000000-94000000
chr2-163550000-163550000-chr2-164700000-164700000	chr10-52200000-52200000-chr10-53050000-53050000	chr1-77800000-77800000-chr1-75950000-75950000
chr8-65800000-65800000-chr8-66150000-66150000	chr13-40150000-40150000-chr13-39200000-39200000	chr3-131950000-131950000-chr3-131450000-131450000
chr7-63950000-63950000-chr7-65300000-65300000	chr14-18100000-18100000-chr14-16550000-16550000	chr18-83100000-83100000-chr18-83950000-83950000
chr4-45300000-45300000-chr4-46800000-46800000	chr3-91050000-91050000-chr3-89950000-89950000	chr13-22950000-22950000-chr13-22600000-22600000
chr2-69700000-69700000-chr2-70100000-70100000	chr18-6750000-6750000-chr18-3400000-3400000	chr3-6950000-6950000-chr3-7300000-7300000
chr4-107850000-107850000-chr4-109250000-109250000	chr4-85250000-85250000-chr4-85700000-85700000	chr18-83100000-83100000-chr18-82000000-82000000
chr1-179100000-179100000-chr1-178450000-178450000	chr6-5900000-5900000-chr6-4850000-4850000	chr14-98500000-98500000-chr14-99450000-99450000
chr7-97400000-97400000-chr7-98100000-98100000	chr12-3600000-3600000-chr12-2850000-2850000	chrY-33650000-33650000-chrY-32400000-32400000
chr14-75500000-75500000-chr14-76500000-76500000	chr7-49600000-49600000-chr7-47500000-47500000	chr13-41700000-41700000-chr13-39650000-39650000
chr13-57600000-57600000-chr13-62150000-62150000	chr16-17400000-17400000-chr16-17950000-17950000	chr6-92300000-92300000-chr6-90850000-90850000
chr15-83000000-83000000-chr15-80400000-80400000	chr7-54900000-54900000-chr7-54350000-54350000	chr4-145850000-145850000-chr4-147550000-147550000
chr11-118600000-118600000-chr11-117250000-117250000	chr7-125100000-125100000-chr7-123500000-123500000	chr13-80050000-80050000-chr13-79500000-79500000
chr2-136900000-136900000-chr2-136200000-136200000	chr19-56200000-56200000-chr19-55750000-55750000	chrX-76650000-76650000-chrX-75900000-75900000
chr10-88750000-88750000-chr10-88100000-88100000	chr19-14600000-14600000-chr19-15000000-15000000	chr4-139900000-139900000-chr4-138650000-138650000
chr19-11150000-11150000-chr19-10250000-10250000	chr11-101950000-101950000-chr11-101250000-101250000	chr3-79300000-79300000-chr3-78500000-78500000
chr11-81300000-81300000-chr11-81750000-81750000	chr3-105400000-105400000-chr3-104500000-104500000	chrY-57300000-57300000-chrY-60400000-60400000
chr5-63900000-63900000-chr5-65200000-65200000	chr2-117900000-117900000-chr2-118200000-118200000	chrY-20000000-20000000-chrY-19500000-19500000
chr13-19150000-19150000-chr13-14500000-14500000	chr5-4900000-4900000-chr5-6250000-6250000	chr6-10800000-10800000-chr6-13050000-13050000
chr10-43100000-43100000-chr10-41650000-41650000	chr18-21150000-21150000-chr18-23250000-23250000	chr8-97550000-97550000-chr8-98050000-98050000
chr5-113300000-113300000-chr5-111750000-111750000	chr10-43750000-43750000-chr10-44050000-44050000	chr13-101450000-101450000-chr13-101150000-101150000
chr9-55200000-55200000-chr9-57800000-57800000	chr12-29900000-29900000-chr12-30550000-30550000	chr7-36450000-36450000-chr7-38050000-38050000
chr12-40100000-40100000-chr12-41700000-41700000	chrX-157450000-157450000-chrX-156600000-156600000	chr19-13150000-13150000-chr19-13800000-13800000
chr13-95350000-95350000-chr13-96100000-96100000	chr16-55900000-55900000-chr16-56350000-56350000	chr5-2400000-2400000-chr5-3250000-3250000
chr16-32400000-32400000-chr16-34650000-34650000	chr13-81250000-81250000-chr13-82450000-82450000	chr11-6250000-6250000-chr11-6700000-6700000
