GG	GN	NN
chr19-23350000-23350000-chr19-22300000-22300000	chr9-85700000-85700000-chr9-87900000-87900000	chr15-50100000-50100000-chr15-51650000-51650000
chr19-16150000-16150000-chr19-17350000-17350000	chr13-103600000-103600000-chr13-105300000-105300000	chr8-30100000-30100000-chr8-29650000-29650000
chr11-104300000-104300000-chr11-103600000-103600000	chr5-106900000-106900000-chr5-108000000-108000000	chr6-78000000-78000000-chr6-78500000-78500000
chr14-39350000-39350000-chr14-38550000-38550000	chr3-66850000-66850000-chr3-67900000-67900000	chrY-35050000-35050000-chrY-32850000-32850000
chr4-113050000-113050000-chr4-113800000-113800000	chr19-36350000-36350000-chr19-34550000-34550000	chr14-46450000-46450000-chr14-45750000-45750000
chr8-17150000-17150000-chr8-19300000-19300000	chr7-65800000-65800000-chr7-64650000-64650000	chr5-3100000-3100000-chr5-4250000-4250000
chr19-44100000-44100000-chr19-45000000-45000000	chr19-50600000-50600000-chr19-49800000-49800000	chr14-15100000-15100000-chr14-15650000-15650000
chr2-158450000-158450000-chr2-157000000-157000000	chr4-73650000-73650000-chr4-72500000-72500000	chr15-28800000-28800000-chr15-29250000-29250000
chr19-10100000-10100000-chr19-9900000-9900000	chr14-95350000-95350000-chr14-93750000-93750000	chr11-112650000-112650000-chr11-112000000-112000000
chr8-14800000-14800000-chr8-14000000-14000000	chr8-84350000-84350000-chr8-82950000-82950000	chr3-85900000-85900000-chr3-85000000-85000000
chr11-50150000-50150000-chr11-51450000-51450000	chr14-119800000-119800000-chr14-120200000-120200000	chr6-132400000-132400000-chr6-130750000-130750000
chr10-77900000-77900000-chr10-77500000-77500000	chr15-91400000-91400000-chr15-90750000-90750000	chr13-83000000-83000000-chr13-82000000-82000000
chr3-31250000-31250000-chr3-28500000-28500000	chr19-14450000-14450000-chr19-14200000-14200000	chrY-43200000-43200000-chrY-42450000-42450000
chrX-148000000-148000000-chrX-148900000-148900000	chr10-70350000-70350000-chr10-70650000-70650000	chr17-54250000-54250000-chr17-53100000-53100000
chr12-3750000-3750000-chr12-4900000-4900000	chr1-99300000-99300000-chr1-100000000-100000000	chrY-77300000-77300000-chrY-74950000-74950000
chr6-121050000-121050000-chr6-121400000-121400000	chr7-84550000-84550000-chr7-85400000-85400000	chr5-70000000-70000000-chr5-71400000-71400000
chr3-83150000-83150000-chr3-84300000-84300000	chr15-90700000-90700000-chr15-89300000-89300000	chrY-86900000-86900000-chrY-87350000-87350000
chr11-75450000-75450000-chr11-72800000-72800000	chr17-14400000-14400000-chr17-16200000-16200000	chr15-24450000-24450000-chr15-25050000-25050000
chr16-34850000-34850000-chr16-36500000-36500000	chr15-74900000-74900000-chr15-73050000-73050000	chr18-82050000-82050000-chr18-83400000-83400000
chr9-42000000-42000000-chr9-40900000-40900000	chr14-121750000-121750000-chr14-120550000-120550000	chr14-39500000-39500000-chr14-40650000-40650000
chr1-85700000-85700000-chr1-84400000-84400000	chr9-22250000-22250000-chr9-22950000-22950000	chr12-13200000-13200000-chr12-13800000-13800000
chr18-58600000-58600000-chr18-57600000-57600000	chr4-144250000-144250000-chr4-144900000-144900000	chrY-80450000-80450000-chrY-81450000-81450000
chr6-73200000-73200000-chr6-71750000-71750000	chrY-65400000-65400000-chrY-64850000-64850000	chrX-62300000-62300000-chrX-61800000-61800000
chr17-46650000-46650000-chr17-43800000-43800000	chr7-40250000-40250000-chr7-41450000-41450000	chr15-23950000-23950000-chr15-24650000-24650000
chr5-22200000-22200000-chr5-20850000-20850000	chrY-84550000-84550000-chrY-83800000-83800000	chr5-12650000-12650000-chr5-13750000-13750000
chr1-52650000-52650000-chr1-55350000-55350000	chr12-50750000-50750000-chr12-53550000-53550000	chr7-77750000-77750000-chr7-76200000-76200000
chrX-129050000-129050000-chrX-130250000-130250000	chr4-130200000-130200000-chr4-129550000-129550000	chr4-69450000-69450000-chr4-70100000-70100000
chr8-70850000-70850000-chr8-68800000-68800000	chrX-120650000-120650000-chrX-119200000-119200000	chr4-50750000-50750000-chr4-52150000-52150000
chr14-34150000-34150000-chr14-32450000-32450000	chr11-66600000-66600000-chr11-68050000-68050000	chr6-69000000-69000000-chr6-68350000-68350000
chr7-133750000-133750000-chr7-132800000-132800000	chr4-128550000-128550000-chr4-129050000-129050000	chr18-62850000-62850000-chr18-61950000-61950000
chrX-152650000-152650000-chrX-151600000-151600000	chr3-76550000-76550000-chr3-75450000-75450000	chrX-21000000-21000000-chrX-21650000-21650000
chr10-25650000-25650000-chr10-24600000-24600000	chr1-126050000-126050000-chr1-126850000-126850000	chr1-127850000-127850000-chr1-129000000-129000000
chr8-127600000-127600000-chr8-127250000-127250000	chr12-108350000-108350000-chr12-109900000-109900000	chr1-78600000-78600000-chr1-79450000-79450000
chr6-118050000-118050000-chr6-118900000-118900000	chr7-3500000-3500000-chr7-2200000-2200000	chrX-69000000-69000000-chrX-71800000-71800000
chr5-103150000-103150000-chr5-104000000-104000000	chr7-143800000-143800000-chr7-144100000-144100000	chr13-99250000-99250000-chr13-101800000-101800000
chr12-78600000-78600000-chr12-79300000-79300000	chr19-54800000-54800000-chr19-56400000-56400000	chr9-87000000-87000000-chr9-85650000-85650000
chr3-29650000-29650000-chr3-29150000-29150000	chr8-92900000-92900000-chr8-92050000-92050000	chr17-54700000-54700000-chr17-55300000-55300000
chr2-59350000-59350000-chr2-58050000-58050000	chr18-84300000-84300000-chr18-83150000-83150000	chrY-81550000-81550000-chrY-81750000-81750000
chr1-185950000-185950000-chr1-187200000-187200000	chr4-5650000-5650000-chr4-5500000-5500000	chr2-149350000-149350000-chr2-150500000-150500000
chr16-92300000-92300000-chr16-91500000-91500000	chr8-22650000-22650000-chr8-23600000-23600000	chr3-121650000-121650000-chr3-126300000-126300000
chr4-11000000-11000000-chr4-11350000-11350000	chr14-23550000-23550000-chr14-20850000-20850000	chr18-27850000-27850000-chr18-26800000-26800000
chr17-24150000-24150000-chr17-24900000-24900000	chr18-54900000-54900000-chr18-54050000-54050000	chr3-150250000-150250000-chr3-149300000-149300000
chrX-93550000-93550000-chrX-92450000-92450000	chr10-19900000-19900000-chr10-19400000-19400000	chrX-12550000-12550000-chrX-13200000-13200000
chr6-88300000-88300000-chr6-89450000-89450000	chr15-34150000-34150000-chr15-33600000-33600000	chr1-47100000-47100000-chr1-46000000-46000000
chrX-167850000-167850000-chrX-169000000-169000000	chr8-123200000-123200000-chr8-124100000-124100000	chrX-23100000-23100000-chrX-21650000-21650000
chr8-80800000-80800000-chr8-80050000-80050000	chr7-138150000-138150000-chr7-141750000-141750000	chr9-20150000-20150000-chr9-20850000-20850000
chr16-9950000-9950000-chr16-7350000-7350000	chr2-21750000-21750000-chr2-21350000-21350000	chrY-16950000-16950000-chrY-18000000-18000000
chr15-66050000-66050000-chr15-67250000-67250000	chr5-117600000-117600000-chr5-120350000-120350000	chr15-23850000-23850000-chr15-23850000-23850000
chr12-108600000-108600000-chr12-109050000-109050000	chr7-67400000-67400000-chr7-66350000-66350000	chr9-500000-500000-chr9-1250000-1250000
chr16-94900000-94900000-chr16-95450000-95450000	chr11-71700000-71700000-chr11-70100000-70100000	chr15-20250000-20250000-chr15-19950000-19950000
chrX-37100000-37100000-chrX-38800000-38800000	chr17-23800000-23800000-chr17-22350000-22350000	chr6-41500000-41500000-chr6-42150000-42150000
chr4-114850000-114850000-chr4-113650000-113650000	chr10-45950000-45950000-chr10-45300000-45300000	chr4-53800000-53800000-chr4-52950000-52950000
chr7-50450000-50450000-chr7-49500000-49500000	chr15-21150000-21150000-chr15-21700000-21700000	chrY-27950000-27950000-chrY-28500000-28500000
chrX-140050000-140050000-chrX-139000000-139000000	chr10-99050000-99050000-chr10-100350000-100350000	chr10-38300000-38300000-chr10-38650000-38650000
chr8-121750000-121750000-chr8-124950000-124950000	chr5-8200000-8200000-chr5-7500000-7500000	chr5-12250000-12250000-chr5-11950000-11950000
chr11-98850000-98850000-chr11-98400000-98400000	chr9-93000000-93000000-chr9-93900000-93900000	chr12-12750000-12750000-chr12-14400000-14400000
chr5-111350000-111350000-chr5-110150000-110150000	chr3-35050000-35050000-chr3-35850000-35850000	chrX-47350000-47350000-chrX-46450000-46450000
chr5-148400000-148400000-chr5-147750000-147750000	chr5-23350000-23350000-chr5-23600000-23600000	chr6-67900000-67900000-chr6-69500000-69500000
chr10-96000000-96000000-chr10-97950000-97950000	chr4-111000000-111000000-chr4-109600000-109600000	chr13-78950000-78950000-chr13-78350000-78350000
chr5-136100000-136100000-chr5-135450000-135450000	chr16-92100000-92100000-chr16-91450000-91450000	chr16-51750000-51750000-chr16-51250000-51250000
chrX-55050000-55050000-chrX-56200000-56200000	chr2-120700000-120700000-chr2-119550000-119550000	chr5-70150000-70150000-chr5-68850000-68850000
chr3-67000000-67000000-chr3-68500000-68500000	chr16-80100000-80100000-chr16-78950000-78950000	chrX-33650000-33650000-chrX-34450000-34450000
chr9-73900000-73900000-chr9-72750000-72750000	chr13-91150000-91150000-chr13-90150000-90150000	chr2-92800000-92800000-chr2-94200000-94200000
chr1-189750000-189750000-chr1-190800000-190800000	chr5-106300000-106300000-chr5-104300000-104300000	chrY-10450000-10450000-chrY-9400000-9400000
chr8-71700000-71700000-chr8-72400000-72400000	chr1-120000000-120000000-chr1-118900000-118900000	chr16-51050000-51050000-chr16-51650000-51650000
chr5-23650000-23650000-chr5-24400000-24400000	chr9-37900000-37900000-chr9-37700000-37700000	chr17-37900000-37900000-chr17-38950000-38950000
chr17-36950000-36950000-chr17-35950000-35950000	chrX-98750000-98750000-chrX-98050000-98050000	chr11-19750000-19750000-chr11-19050000-19050000
chr1-170800000-170800000-chr1-170150000-170150000	chr17-6000000-6000000-chr17-4400000-4400000	chr4-16100000-16100000-chr4-18250000-18250000
chr6-37000000-37000000-chr6-38350000-38350000	chr16-37750000-37750000-chr16-36750000-36750000	chr5-83850000-83850000-chr5-85300000-85300000
chr13-52100000-52100000-chr13-52900000-52900000	chrX-50550000-50550000-chrX-49550000-49550000	chr4-97550000-97550000-chr4-96800000-96800000
chr6-32200000-32200000-chr6-31400000-31400000	chr2-61000000-61000000-chr2-59300000-59300000	chr5-59150000-59150000-chr5-60950000-60950000
chr10-18500000-18500000-chr10-19850000-19850000	chr10-82550000-82550000-chr10-81300000-81300000	chr16-62450000-62450000-chr16-58600000-58600000
chr3-54750000-54750000-chr3-53000000-53000000	chr2-4700000-4700000-chr2-3300000-3300000	chr9-86150000-86150000-chr9-85050000-85050000
chr10-66150000-66150000-chr10-64600000-64600000	chr5-67400000-67400000-chr5-68450000-68450000	chr13-68550000-68550000-chr13-69200000-69200000
chr13-90000000-90000000-chr13-89250000-89250000	chr14-18650000-18650000-chr14-20050000-20050000	chr7-69850000-69850000-chr7-68450000-68450000
chr5-104950000-104950000-chr5-104200000-104200000	chr11-66400000-66400000-chr11-65400000-65400000	chr4-90000000-90000000-chr4-90500000-90500000
chr17-42500000-42500000-chr17-44250000-44250000	chr15-100000000-100000000-chr15-98300000-98300000	chr12-44000000-44000000-chr12-43050000-43050000
chr6-85700000-85700000-chr6-86700000-86700000	chr15-86400000-86400000-chr15-87150000-87150000	chr18-7050000-7050000-chr18-6350000-6350000
chr11-107550000-107550000-chr11-106100000-106100000	chr9-93450000-93450000-chr9-92550000-92550000	chr1-44500000-44500000-chr1-45100000-45100000
chr2-128350000-128350000-chr2-126450000-126450000	chr13-2850000-2850000-chr13-4600000-4600000	chr6-69650000-69650000-chr6-68550000-68550000
chr11-117300000-117300000-chr11-115050000-115050000	chr9-32450000-32450000-chr9-32950000-32950000	chr2-180250000-180250000-chr2-180900000-180900000
chr2-55550000-55550000-chr2-54650000-54650000	chr12-37600000-37600000-chr12-38500000-38500000	chr8-500000-500000-chr8-1250000-1250000
chr2-156000000-156000000-chr2-154600000-154600000	chr5-6750000-6750000-chr5-8450000-8450000	chr1-147850000-147850000-chr1-148050000-148050000
chr15-76500000-76500000-chr15-76800000-76800000	chrX-18250000-18250000-chrX-17400000-17400000	chr8-97100000-97100000-chr8-98000000-98000000
chr7-35500000-35500000-chr7-34100000-34100000	chr13-44500000-44500000-chr13-44800000-44800000	chr5-27950000-27950000-chr5-29000000-29000000
chr18-62650000-62650000-chr18-61700000-61700000	chrX-59150000-59150000-chrX-58500000-58500000	chr18-54050000-54050000-chr18-55350000-55350000
chr1-186650000-186650000-chr1-185550000-185550000	chr1-46250000-46250000-chr1-47400000-47400000	chrX-150300000-150300000-chrX-149400000-149400000
chr8-37800000-37800000-chr8-40550000-40550000	chr8-59800000-59800000-chr8-61050000-61050000	chr5-139900000-139900000-chr5-139350000-139350000
chr6-54200000-54200000-chr6-52600000-52600000	chr15-96550000-96550000-chr15-97850000-97850000	chr8-55850000-55850000-chr8-57000000-57000000
chr7-55950000-55950000-chr7-57400000-57400000	chr14-55900000-55900000-chr14-54150000-54150000	chr17-60200000-60200000-chr17-60600000-60600000
chr16-95500000-95500000-chr16-94750000-94750000	chr1-62450000-62450000-chr1-61350000-61350000	chr8-126550000-126550000-chr8-126050000-126050000
chr11-107450000-107450000-chr11-107950000-107950000	chr7-35550000-35550000-chr7-35900000-35900000	chr15-24300000-24300000-chr15-23650000-23650000
chr13-24800000-24800000-chr13-24050000-24050000	chr3-106350000-106350000-chr3-107750000-107750000	chr6-76250000-76250000-chr6-76700000-76700000
chr8-118800000-118800000-chr8-117600000-117600000	chr6-93600000-93600000-chr6-91800000-91800000	chr10-7050000-7050000-chr10-9150000-9150000
chr10-32350000-32350000-chr10-31750000-31750000	chrX-70750000-70750000-chrX-71250000-71250000	chr8-43200000-43200000-chr8-42400000-42400000
chr2-73500000-73500000-chr2-72000000-72000000	chr3-91400000-91400000-chr3-90350000-90350000	chr8-52700000-52700000-chr8-53250000-53250000
chr18-72350000-72350000-chr18-70600000-70600000	chr5-56800000-56800000-chr5-57800000-57800000	chr12-8200000-8200000-chr12-8400000-8400000
chr1-186700000-186700000-chr1-187350000-187350000	chr3-97500000-97500000-chr3-98400000-98400000	chr13-9850000-9850000-chr13-9000000-9000000
chr9-95900000-95900000-chr9-96700000-96700000	chr8-47300000-47300000-chr8-49300000-49300000	chrY-30600000-30600000-chrY-31250000-31250000
chr7-43050000-43050000-chr7-44250000-44250000	chrX-140750000-140750000-chrX-140250000-140250000	chr6-63250000-63250000-chr6-62600000-62600000
chr9-65000000-65000000-chr9-65950000-65950000	chr16-24500000-24500000-chr16-25100000-25100000	chrX-124100000-124100000-chrX-124850000-124850000
chr19-46200000-46200000-chr19-43750000-43750000	chr6-14000000-14000000-chr6-15000000-15000000	chr6-137950000-137950000-chr6-139000000-139000000
chr5-37500000-37500000-chr5-38450000-38450000	chr1-9850000-9850000-chr1-11350000-11350000	chrX-82900000-82900000-chrX-80950000-80950000
chr5-9450000-9450000-chr5-8400000-8400000	chr19-24750000-24750000-chr19-27200000-27200000	chr13-93200000-93200000-chr13-94350000-94350000
chr6-127100000-127100000-chr6-126500000-126500000	chr2-140800000-140800000-chr2-139350000-139350000	chr1-97350000-97350000-chr1-98400000-98400000
chr12-34500000-34500000-chr12-33150000-33150000	chr6-44400000-44400000-chr6-43650000-43650000	chr15-60050000-60050000-chr15-59950000-59950000
chr15-79500000-79500000-chr15-78300000-78300000	chr14-44200000-44200000-chr14-43150000-43150000	chr6-51000000-51000000-chr6-47600000-47600000
chr1-118900000-118900000-chr1-118650000-118650000	chr13-24250000-24250000-chr13-25750000-25750000	chr4-83400000-83400000-chr4-84100000-84100000
chr7-102100000-102100000-chr7-103450000-103450000	chr6-105900000-105900000-chr6-107400000-107400000	chr3-21550000-21550000-chr3-21750000-21750000
chr6-113800000-113800000-chr6-116250000-116250000	chr1-24600000-24600000-chr1-25700000-25700000	chrX-146300000-146300000-chrX-147450000-147450000
chr9-103450000-103450000-chr9-104850000-104850000	chr11-80750000-80750000-chr11-79800000-79800000	chr12-16650000-16650000-chr12-17950000-17950000
chr9-45050000-45050000-chr9-45550000-45550000	chr5-116650000-116650000-chr5-114250000-114250000	chr1-123100000-123100000-chr1-121600000-121600000
chr4-128400000-128400000-chr4-128900000-128900000	chr17-43850000-43850000-chr17-42700000-42700000	chr9-100000-100000-chr9-1150000-1150000
chr4-83750000-83750000-chr4-84550000-84550000	chrX-147050000-147050000-chrX-145600000-145600000	chr6-115050000-115050000-chr6-114550000-114550000
chr2-120300000-120300000-chr2-120950000-120950000	chr8-81800000-81800000-chr8-82500000-82500000	chr10-34700000-34700000-chr10-33850000-33850000
chr14-63650000-63650000-chr14-66350000-66350000	chr19-35900000-35900000-chr19-36900000-36900000	chr8-2300000-2300000-chr8-3700000-3700000
chr8-62000000-62000000-chr8-61250000-61250000	chrX-49900000-49900000-chrX-48200000-48200000	chrX-25600000-25600000-chrX-26950000-26950000
chr4-117250000-117250000-chr4-116400000-116400000	chr18-20450000-20450000-chr18-19950000-19950000	chr10-65050000-65050000-chr10-66300000-66300000
chr1-100450000-100450000-chr1-100000000-100000000	chr5-110300000-110300000-chr5-109400000-109400000	chrX-118250000-118250000-chrX-117450000-117450000
chr19-43200000-43200000-chr19-41550000-41550000	chr8-54250000-54250000-chr8-54900000-54900000	chr12-46150000-46150000-chr12-47400000-47400000
chr7-73450000-73450000-chr7-75200000-75200000	chr5-94800000-94800000-chr5-95550000-95550000	chr8-102450000-102450000-chr8-104650000-104650000
chr15-80700000-80700000-chr15-79700000-79700000	chr14-4350000-4350000-chr14-4800000-4800000	chr3-22400000-22400000-chr3-22750000-22750000
chr7-115850000-115850000-chr7-114350000-114350000	chr2-127500000-127500000-chr2-126200000-126200000	chr8-98200000-98200000-chr8-97100000-97100000
chr4-127250000-127250000-chr4-126100000-126100000	chr6-64750000-64750000-chr6-63750000-63750000	chr6-138950000-138950000-chr6-138200000-138200000
chr12-111850000-111850000-chr12-110800000-110800000	chr13-96150000-96150000-chr13-95100000-95100000	chrX-2100000-2100000-chrX-1300000-1300000
chr3-118950000-118950000-chr3-120600000-120600000	chr10-12250000-12250000-chr10-11200000-11200000	chrX-145850000-145850000-chrX-147250000-147250000
chr9-53950000-53950000-chr9-57000000-57000000	chr6-139950000-139950000-chr6-138250000-138250000	chr9-91950000-91950000-chr9-91950000-91950000
chr5-23050000-23050000-chr5-24550000-24550000	chr11-2050000-2050000-chr11-3250000-3250000	chr15-14550000-14550000-chr15-14300000-14300000
chr5-19550000-19550000-chr5-21250000-21250000	chr2-56600000-56600000-chr2-58000000-58000000	chr14-88350000-88350000-chr14-87600000-87600000
chr2-39150000-39150000-chr2-38350000-38350000	chr6-18200000-18200000-chr6-19200000-19200000	chr6-26050000-26050000-chr6-27250000-27250000
chr6-51550000-51550000-chr6-52500000-52500000	chr6-108600000-108600000-chr6-107950000-107950000	chr18-17000000-17000000-chr18-18250000-18250000
chr11-77500000-77500000-chr11-77800000-77800000	chr1-24300000-24300000-chr1-23950000-23950000	chrX-37300000-37300000-chrX-37300000-37300000
chr1-186650000-186650000-chr1-185750000-185750000	chr13-51700000-51700000-chr13-51950000-51950000	chr13-89750000-89750000-chr13-90400000-90400000
chr6-52900000-52900000-chr6-53600000-53600000	chr11-7450000-7450000-chr11-7150000-7150000	chrX-79750000-79750000-chrX-82000000-82000000
chrX-162850000-162850000-chrX-164350000-164350000	chr1-11350000-11350000-chr1-11800000-11800000	chr14-111900000-111900000-chr14-110700000-110700000
chr11-108000000-108000000-chr11-108850000-108850000	chr1-184750000-184750000-chr1-186100000-186100000	chr11-41800000-41800000-chr11-41000000-41000000
chr6-39350000-39350000-chr6-38300000-38300000	chr16-20100000-20100000-chr16-19450000-19450000	chrY-18800000-18800000-chrY-17500000-17500000
chr11-103400000-103400000-chr11-102200000-102200000	chr10-68000000-68000000-chr10-67000000-67000000	chr18-79450000-79450000-chr18-78700000-78700000
chr12-118100000-118100000-chr12-117250000-117250000	chr11-63400000-63400000-chr11-62400000-62400000	chr8-93750000-93750000-chr8-94700000-94700000
chr4-155900000-155900000-chr4-152250000-152250000	chr3-73050000-73050000-chr3-72200000-72200000	chr13-4400000-4400000-chr13-3850000-3850000
chr10-92300000-92300000-chr10-92900000-92900000	chr8-108400000-108400000-chr8-107400000-107400000	chr7-1200000-1200000-chr7-2700000-2700000
chr8-10500000-10500000-chr8-10300000-10300000	chr10-28750000-28750000-chr10-29700000-29700000	chr14-1250000-1250000-chr14-600000-600000
chr7-98650000-98650000-chr7-99450000-99450000	chr3-152300000-152300000-chr3-153000000-153000000	chr6-20100000-20100000-chr6-21050000-21050000
chr11-75000000-75000000-chr11-76400000-76400000	chr10-61000000-61000000-chr10-61500000-61500000	chr5-55500000-55500000-chr5-56350000-56350000
chr5-118750000-118750000-chr5-119200000-119200000	chr13-34600000-34600000-chr13-37000000-37000000	chr7-106250000-106250000-chr7-105450000-105450000
chr10-23200000-23200000-chr10-23800000-23800000	chr2-81650000-81650000-chr2-80350000-80350000	chr12-12850000-12850000-chr12-11450000-11450000
chr11-87400000-87400000-chr11-85200000-85200000	chr4-77800000-77800000-chr4-82650000-82650000	chr5-61600000-61600000-chr5-62200000-62200000
chr3-137350000-137350000-chr3-139050000-139050000	chr5-30950000-30950000-chr5-28100000-28100000	chr2-104500000-104500000-chr2-103950000-103950000
chr1-84750000-84750000-chr1-85650000-85650000	chr9-117300000-117300000-chr9-117900000-117900000	chr2-89650000-89650000-chr2-87450000-87450000
chr4-120700000-120700000-chr4-121200000-121200000	chr7-87000000-87000000-chr7-85200000-85200000	chr12-10000000-10000000-chr12-6750000-6750000
chr7-49550000-49550000-chr7-50800000-50800000	chr11-18100000-18100000-chr11-17100000-17100000	chr1-99300000-99300000-chr1-98300000-98300000
chr4-43550000-43550000-chr4-42950000-42950000	chr8-128800000-128800000-chr8-127100000-127100000	chr17-75850000-75850000-chr17-77800000-77800000
chr8-106150000-106150000-chr8-108750000-108750000	chr10-95800000-95800000-chr10-96300000-96300000	chr14-108800000-108800000-chr14-107900000-107900000
chr1-174050000-174050000-chr1-175100000-175100000	chr4-133100000-133100000-chr4-132700000-132700000	chr11-37700000-37700000-chr11-38250000-38250000
chr9-55400000-55400000-chr9-54050000-54050000	chr14-60650000-60650000-chr14-61450000-61450000	chrY-78750000-78750000-chrY-79500000-79500000
chr13-14400000-14400000-chr13-13000000-13000000	chr2-149850000-149850000-chr2-148950000-148950000	chr15-52950000-52950000-chr15-51000000-51000000
chr11-32500000-32500000-chr11-34250000-34250000	chr17-53200000-53200000-chr17-53650000-53650000	chr14-40300000-40300000-chr14-41550000-41550000
chr4-133850000-133850000-chr4-133250000-133250000	chr12-35000000-35000000-chr12-34850000-34850000	chr7-131300000-131300000-chr7-132400000-132400000
chr3-103800000-103800000-chr3-103100000-103100000	chr16-94100000-94100000-chr16-93000000-93000000	chrX-159000000-159000000-chrX-159600000-159600000
chr14-28200000-28200000-chr14-27200000-27200000	chr15-73400000-73400000-chr15-72200000-72200000	chr2-101550000-101550000-chr2-100200000-100200000
chr1-159750000-159750000-chr1-158450000-158450000	chr1-99050000-99050000-chr1-100100000-100100000	chr3-91650000-91650000-chr3-91100000-91100000
chr7-66650000-66650000-chr7-66300000-66300000	chr2-113300000-113300000-chr2-112250000-112250000	chr14-114200000-114200000-chr14-112550000-112550000
chr11-55050000-55050000-chr11-55600000-55600000	chr3-15100000-15100000-chr3-14050000-14050000	chr7-47850000-47850000-chr7-47850000-47850000
chr5-73250000-73250000-chr5-72250000-72250000	chr3-138650000-138650000-chr3-139250000-139250000	chr8-68350000-68350000-chr8-67400000-67400000
chr16-25850000-25850000-chr16-22900000-22900000	chr17-12300000-12300000-chr17-13250000-13250000	chr5-51150000-51150000-chr5-49800000-49800000
chr17-23900000-23900000-chr17-25750000-25750000	chrX-97700000-97700000-chrX-96100000-96100000	chr18-28500000-28500000-chr18-26900000-26900000
chr8-57350000-57350000-chr8-61050000-61050000	chr4-53100000-53100000-chr4-52250000-52250000	chr5-115400000-115400000-chr5-116100000-116100000
chr1-170750000-170750000-chr1-171050000-171050000	chr4-44000000-44000000-chr4-43100000-43100000	chr8-20750000-20750000-chr8-21550000-21550000
chrX-139000000-139000000-chrX-139650000-139650000	chr13-115550000-115550000-chr13-114400000-114400000	chr15-14350000-14350000-chr15-13800000-13800000
chr17-13750000-13750000-chr17-15400000-15400000	chr13-47200000-47200000-chr13-46150000-46150000	chr16-66350000-66350000-chr16-69700000-69700000
chr4-15900000-15900000-chr4-15100000-15100000	chr14-57450000-57450000-chr14-60400000-60400000	chr13-103550000-103550000-chr13-104550000-104550000
chr6-38850000-38850000-chr6-36900000-36900000	chr5-127650000-127650000-chr5-126050000-126050000	chrY-9350000-9350000-chrY-9800000-9800000
chr17-74200000-74200000-chr17-72850000-72850000	chr16-38400000-38400000-chr16-37750000-37750000	chr12-7350000-7350000-chr12-7750000-7750000
chr5-32350000-32350000-chr5-33350000-33350000	chr6-123450000-123450000-chr6-124200000-124200000	chr19-20650000-20650000-chr19-19850000-19850000
