GG	GN	NN
chr18-52850000-52850000-chr18-52650000-52650000	chr6-53400000-53400000-chr6-51300000-51300000	chr5-3250000-3250000-chr5-4550000-4550000
chr1-74300000-74300000-chr1-75550000-75550000	chr1-81550000-81550000-chr1-82400000-82400000	chr8-92050000-92050000-chr8-96650000-96650000
chr6-128850000-128850000-chr6-130250000-130250000	chr3-57800000-57800000-chr3-56800000-56800000	chrX-30400000-30400000-chrX-29850000-29850000
chr6-141450000-141450000-chr6-140450000-140450000	chr7-95550000-95550000-chr7-96950000-96950000	chrX-37600000-37600000-chrX-36650000-36650000
chr17-83450000-83450000-chr17-85250000-85250000	chr8-110100000-110100000-chr8-108950000-108950000	chr12-107350000-107350000-chr12-109350000-109350000
chr5-34750000-34750000-chr5-35600000-35600000	chrX-82050000-82050000-chrX-81450000-81450000	chr10-120700000-120700000-chr10-122150000-122150000
chr16-57700000-57700000-chr16-56700000-56700000	chr13-41650000-41650000-chr13-41050000-41050000	chr2-136650000-136650000-chr2-138650000-138650000
chr5-112500000-112500000-chr5-114600000-114600000	chr8-37800000-37800000-chr8-38700000-38700000	chr14-7250000-7250000-chr14-8000000-8000000
chrX-167600000-167600000-chrX-166450000-166450000	chr17-80000000-80000000-chr17-80600000-80600000	chrY-26550000-26550000-chrY-28200000-28200000
chr17-28550000-28550000-chr17-27950000-27950000	chr14-34500000-34500000-chr14-33850000-33850000	chr2-99550000-99550000-chr2-100150000-100150000
chr17-51350000-51350000-chr17-49750000-49750000	chr18-8000000-8000000-chr18-7200000-7200000	chr6-112700000-112700000-chr6-109750000-109750000
chr15-78450000-78450000-chr15-76000000-76000000	chr9-70400000-70400000-chr9-68550000-68550000	chr17-40800000-40800000-chr17-41350000-41350000
chr6-31450000-31450000-chr6-33000000-33000000	chr9-79300000-79300000-chr9-78100000-78100000	chr11-112400000-112400000-chr11-111800000-111800000
chr9-54700000-54700000-chr9-55250000-55250000	chr8-14200000-14200000-chr8-13900000-13900000	chr18-17400000-17400000-chr18-18400000-18400000
